Age	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	Sex
0-9	305334	303697	302731	303016	305524	308298	310404	313388	317160	319182	320398	321461	M
19-Oct	309264	314521	319363	323746	325651	327703	328780	327534	325782	325299	325239	325249	M
20-29	285060	284378	287454	295232	304001	311342	321102	332710	342361	349592	356594	361151	M
30-39	353801	351247	348256	348269	348036	345837	345826	347331	350180	352674	355271	358087	M
40-49	328863	333284	338802	346104	353875	360114	365989	373083	379190	383109	385033	384194	M
50-59	304669	306425	305685	306854	308955	311944	315169	319785	323896	327710	333357	338546	M
60-69	193680	205314	219273	231236	241907	251303	259638	268253	275185	280316	283149	285788	M
70-79	130911	129325	128840	129271	130400	132571	135112	137117	141657	148594	158259	168601	M
80-89	65158	66240	67502	67774	68178	68743	69141	69442	69810	69691	69855	69914	M
90-99	7247	7453	7774	8082	8421	8794	9585	10109	10544	11122	11512	11966	M
100 or older	83	97	108	106	105	103	103	119	143	145	157	154	M
0-9	290750	289794	289248	289748	291873	294103	296201	298448	301757	303480	304435	305115	F
19-Oct	293013	297974	302859	306436	308382	309653	309948	309195	308754	308689	308827	308954	F
20-29	279099	278441	279881	285700	293319	301275	311024	320077	328119	335172	340803	344190	F
30-39	342723	341287	338556	335667	333648	331624	330688	329843	330356	331717	333122	335580	F
40-49	317464	320894	324066	328676	334386	340581	345985	351924	357080	359925	361966	362093	F
50-59	294987	296886	296576	297061	299129	301870	304538	308391	311380	314664	318961	323181	F
60-69	200936	210909	223620	234618	243723	251940	259537	267000	273433	278944	282047	284523	F
70-79	162654	159967	157762	156943	156812	158019	159211	160208	163400	169229	177904	187247	F
80-89	118274	118844	118797	117548	116794	115624	113761	112200	110714	108674	107078	106165	F
90-99	21955	22795	23486	24574	25597	26225	28012	29096	29718	30444	31106	31038	F
100 or older	438	447	495	510	536	533	551	617	656	684	729	788	F
