Year	Sex	AgeGroup	Criteria	Population	Events	Incidence
2005	M	18-54	Specific	15623386	260	2
2005	M	18-54	Sensitive	15623386	1735	11
2005	M	55-64	Specific	3460166	1755	51
2005	M	55-64	Sensitive	3460166	2040	59
2005	M	65-74	Specific	2344474	3546	151
2005	M	65-74	Sensitive	2344474	3831	163
2005	M	75-84	Specific	1528339	5838	382
2005	M	75-84	Sensitive	1528339	6732	440
2005	M	>85	Specific	343992	988	287
2005	M	>85	Sensitive	343992	1467	426
2006	M	18-54	Specific	15634181	807	5
2006	M	18-54	Sensitive	15634181	1055	7
2006	M	55-64	Specific	3607389	282	8
2006	M	55-64	Sensitive	3607389	419	12
2006	M	65-74	Specific	2314184	3115	135
2006	M	65-74	Sensitive	2314184	3820	165
2006	M	75-84	Specific	1550014	4063	262
2006	M	75-84	Sensitive	1550014	5019	324
2006	M	>85	Specific	381212	2075	544
2006	M	>85	Sensitive	381212	2546	668
2007	M	18-54	Specific	15627630	812	5
2007	M	18-54	Sensitive	15627630	2230	14
2007	M	55-64	Specific	3730321	1270	34
2007	M	55-64	Sensitive	3730321	1833	49
2007	M	65-74	Specific	2310558	3256	141
2007	M	65-74	Sensitive	2310558	4659	202
2007	M	75-84	Specific	1577472	4546	288
2007	M	75-84	Sensitive	1577472	5175	328
2007	M	>85	Specific	414629	1558	376
2007	M	>85	Sensitive	414629	1881	454
2008	M	18-54	Specific	15635329	383	2
2008	M	18-54	Sensitive	15635329	634	4
2008	M	55-64	Specific	3827918	1128	29
2008	M	55-64	Sensitive	3827918	1691	44
2008	M	65-74	Specific	2330164	2923	125
2008	M	65-74	Sensitive	2330164	3901	167
2008	M	75-84	Specific	1595811	4316	270
2008	M	75-84	Sensitive	1595811	5100	320
2008	M	>85	Specific	444035	2518	567
2008	M	>85	Sensitive	444035	3003	676
2009	M	18-54	Specific	15625509	799	5
2009	M	18-54	Sensitive	15625509	1286	8
2009	M	55-64	Specific	3925946	1692	43
2009	M	55-64	Sensitive	3925946	1976	50
2009	M	65-74	Specific	2351046	3590	153
2009	M	65-74	Sensitive	2351046	4277	182
2009	M	75-84	Specific	1619467	5003	309
2009	M	75-84	Sensitive	1619467	6670	412
2009	M	>85	Specific	470300	1740	370
2009	M	>85	Sensitive	470300	2385	507
2010	M	18-54	Specific	15603442	120	1
2010	M	18-54	Sensitive	15603442	266	2
2010	M	55-64	Specific	4017403	1380	34
2010	M	55-64	Sensitive	4017403	2491	62
2010	M	65-74	Specific	2383258	3135	132
2010	M	65-74	Sensitive	2383258	3680	154
2010	M	75-84	Specific	1633709	4826	295
2010	M	75-84	Sensitive	1633709	5853	358
2010	M	>85	Specific	497942	2402	482
2010	M	>85	Sensitive	497942	3003	603
2005	F	18-54	Specific	15941904	250	2
2005	F	18-54	Sensitive	15941904	1147	7
2005	F	55-64	Specific	3617102	655	18
2005	F	55-64	Sensitive	3617102	2112	58
2005	F	65-74	Specific	2830567	2021	71
2005	F	65-74	Sensitive	2830567	3880	137
2005	F	75-84	Specific	2419111	4768	197
2005	F	75-84	Sensitive	2419111	6191	256
2005	F	>85	Specific	867760	1047	121
2005	F	>85	Sensitive	867760	1518	175
2006	F	18-54	Specific	15946678	257	2
2006	F	18-54	Sensitive	15946678	998	6
2006	F	55-64	Specific	3779620	1244	33
2006	F	55-64	Sensitive	3779620	2481	66
2006	F	65-74	Specific	2766862	3209	116
2006	F	65-74	Sensitive	2766862	3630	131
2006	F	75-84	Specific	2429299	5302	218
2006	F	75-84	Sensitive	2429299	7508	309
2006	F	>85	Specific	940857	3388	360
2006	F	>85	Sensitive	940857	4081	434
2007	F	18-54	Specific	15932858	381	2
2007	F	18-54	Sensitive	15932858	792	5
2007	F	55-64	Specific	3922250	2358	60
2007	F	55-64	Sensitive	3922250	3318	>85
2007	F	65-74	Specific	2730959	2393	88
2007	F	65-74	Sensitive	2730959	3239	119
2007	F	75-84	Specific	2449819	5378	220
2007	F	75-84	Sensitive	2449819	6853	280
2007	F	>85	Specific	1009736	2853	283
2007	F	>85	Sensitive	1009736	3437	340
2008	F	18-54	Specific	15923438	131	1
2008	F	18-54	Sensitive	15923438	253	2
2008	F	55-64	Specific	4038800	1099	27
2008	F	55-64	Sensitive	4038800	1914	47
2008	F	65-74	Specific	2724773	2380	87
2008	F	65-74	Sensitive	2724773	3640	134
2008	F	75-84	Specific	2455525	5431	221
2008	F	75-84	Sensitive	2455525	6733	274
2008	F	>85	Specific	1073273	2820	263
2008	F	>85	Sensitive	1073273	3670	342
2009	F	18-54	Specific	15899236	607	4
2009	F	18-54	Sensitive	15899236	1236	8
2009	F	55-64	Specific	4153661	1083	26
2009	F	55-64	Sensitive	4153661	1619	39
2009	F	65-74	Specific	2723409	2238	82
2009	F	65-74	Sensitive	2723409	2937	108
2009	F	75-84	Specific	2464857	4131	168
2009	F	75-84	Sensitive	2464857	5983	243
2009	F	>85	Specific	1132838	3352	296
2009	F	>85	Sensitive	1132838	3749	331
2010	F	18-54	Specific	15875200	250	2
2010	F	18-54	Sensitive	15875200	489	3
2010	F	55-64	Specific	4271294	1065	25
2010	F	55-64	Sensitive	4271294	1587	37
2010	F	65-74	Specific	2737803	1099	40
2010	F	65-74	Sensitive	2737803	2061	75
2010	F	75-84	Specific	2455084	4749	193
2010	F	75-84	Sensitive	2455084	6420	261
2010	F	>85	Specific	1188901	2109	177
2010	F	>85	Sensitive	1188901	2965	249
