Region	Sex	Age	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
0 The whole country	Males	30	32063	32403	32287	32609	32922	32288	32660	32966	33303	34838	35151	35580	35150	36096	36326	34926	35226	34898	33631	32783	31353	30475	30083	31480	32004	32895	32899	34725	35117	35358	36139	37026	36771	38400	39255
0 The whole country	Males	31	31430	32140	32655	32447	32577	32855	32383	32786	33016	33339	34903	35217	35658	35338	36290	36489	35082	35390	34994	33772	33067	31762	31352	30870	32132	32667	33866	33920	35486	35841	35857	36454	37290	37094	39000
0 The whole country	Males	32	31648	31518	32366	32780	32328	32492	32919	32493	32818	33029	33364	34946	35333	35821	35516	36410	36525	35283	35405	35148	34033	33483	32593	32174	31441	32813	33596	34747	34594	36104	36284	36176	36684	37425	37580
0 The whole country	Males	33	31491	31725	31730	32508	32647	32234	32568	32957	32470	32794	33013	33373	35078	35426	36014	35622	36418	36628	35316	35546	35453	34397	34269	33285	32672	32098	33611	34482	35391	35190	36462	36422	36350	36912	37893
0 The whole country	Males	34	30704	31538	31866	31790	32421	32566	32240	32609	32964	32419	32786	33008	33419	35169	35570	36131	35607	36528	36640	35395	35768	35790	35096	34974	33756	33216	32864	34396	35102	35950	35454	36571	36580	36433	37324
0 The whole country	Males	35	31384	30744	31647	31924	31704	32315	32557	32244	32619	32967	32456	32788	33000	33534	35311	35631	36133	35717	36562	36728	35626	36106	36431	35792	35345	34207	33971	33555	34955	35569	36250	35485	36702	36697	36743
0 The whole country	Males	36	31649	31346	30838	31731	31784	31625	32333	32615	32253	32613	32980	32447	32790	33094	33681	35308	35664	36193	35724	36637	36869	35914	36746	37014	36144	35826	34873	34571	34031	35366	35791	36388	35604	36765	37027
0 The whole country	Males	37	32613	31626	31440	30862	31648	31652	31594	32345	32638	32233	32586	32947	32452	32822	33256	33680	35271	35760	36186	35768	36818	37154	36518	37347	37338	36500	36400	35415	34970	34398	35649	35872	36449	35618	37036
0 The whole country	Males	38	33284	32620	31701	31469	30731	31528	31610	31606	32284	32639	32220	32551	32914	32492	32936	33286	33662	35343	35793	36241	35899	37064	37647	37031	37626	37687	37030	36874	35759	35393	34618	35696	35858	36496	35869
0 The whole country	Males	39	34770	33276	32654	31707	31331	30609	31520	31620	31601	32272	32612	32168	32559	32952	32564	32909	33244	33690	35338	35783	36361	36111	37534	38069	37379	37917	38221	37495	37269	36102	35583	34636	35701	35890	36693
0 The whole country	Males	40	31151	34731	33318	32658	31554	31223	30544	31481	31589	31596	32220	32556	32140	32574	32979	32614	32900	33260	33661	35371	35849	36568	36597	37965	38314	37649	38341	38622	37795	37573	36287	35592	34610	35731	36077
0 The whole country	Males	41	30233	31107	34759	33288	32495	31443	31181	30523	31462	31564	31577	32158	32481	32093	32650	32962	32574	32884	33268	33627	35425	36054	36973	37005	38176	38575	38053	38699	38908	38059	37716	36268	35593	34544	35875
0 The whole country	Males	42	26672	30201	31082	34727	33146	32350	31401	31134	30488	31417	31504	31494	32136	32510	32149	32629	32927	32595	32846	33244	33745	35598	36470	37345	37225	38410	38952	38375	38900	39133	38166	37717	36233	35594	34706
0 The whole country	Males	43	24478	26640	30174	31024	34541	33000	32257	31344	31085	30452	31383	31436	31427	32133	32551	32084	32568	32933	32553	32879	33338	33909	35937	36794	37515	37439	38727	39233	38581	39065	39229	38152	37648	36237	35713
0 The whole country	Males	44	21420	24441	26623	30097	30854	34404	32923	32214	31311	31039	30388	31303	31400	31410	32164	32475	32034	32530	32907	32535	32914	33512	34261	36237	36950	37683	37719	38973	39373	38701	39115	39173	38114	37644	36319
0 The whole country	Males	45	22181	21383	24392	26561	29937	30722	34285	32847	32168	31262	30967	30297	31231	31343	31414	32060	32390	32017	32432	32859	32598	33022	33816	34539	36402	37085	37910	37895	39085	39505	38742	39058	39153	38042	37771
0 The whole country	Males	46	21412	22132	21310	24298	26411	29735	30640	34206	32764	32093	31151	30888	30212	31173	31319	31341	31971	32362	31943	32390	32877	32712	33286	34050	34671	36579	37315	38068	37984	39159	39554	38735	39022	39157	38163
0 The whole country	Males	47	20741	21330	22072	21257	24145	26281	29650	30534	34096	32656	31996	31062	30804	30139	31128	31228	31268	31912	32285	31932	32431	32951	32973	33479	34141	34755	36743	37445	38149	38108	39153	39457	38644	38968	39253
0 The whole country	Males	48	19793	20655	21260	21984	21115	24040	26171	29552	30458	34021	32536	31895	31012	30744	30120	31033	31107	31221	31835	32240	31919	32507	33147	33160	33547	34254	34942	36838	37478	38211	38066	39088	39373	38611	39033
0 The whole country	Males	49	19197	19706	20564	21185	21842	20995	23921	26062	29475	30326	33885	32382	31792	30910	30669	30012	30907	31035	31137	31786	32188	31969	32644	33301	33173	33560	34381	35042	36856	37519	38166	37964	39008	39296	38611
0 The whole country	Males	50	18199	19110	19595	20458	21042	21691	20882	23830	25990	29379	30195	33690	32248	31686	30823	30572	29882	30833	30946	31069	31728	32218	32126	32792	33367	33197	33664	34412	35006	36848	37461	38054	37867	38891	39317
0 The whole country	Males	51	18616	18108	18977	19488	20322	20922	21592	20767	23724	25847	29226	30046	33570	32124	31547	30679	30446	29797	30697	30843	30995	31708	32346	32200	32806	33368	33284	33714	34377	34974	36758	37337	37916	37784	38884
0 The whole country	Males	52	18704	18513	17999	18873	19356	20179	20791	21476	20701	23600	25712	29070	29924	33454	32008	31409	30543	30336	29666	30567	30764	30972	31741	32354	32136	32817	33431	33294	33663	34322	34894	36612	37233	37842	37722
0 The whole country	Males	53	19723	18554	18366	17876	18736	19217	20025	20696	21396	20586	23445	25575	28938	29783	33310	31829	31217	30426	30176	29542	30467	30690	30968	31752	32325	32122	32859	33453	33231	33591	34225	34723	36477	37089	37814
0 The whole country	Males	54	19635	19548	18415	18225	17695	18604	19075	19910	20571	21306	20484	23327	25404	28806	29678	33101	31635	31039	30259	30028	29416	30384	30668	30948	31645	32276	32122	32855	33349	33172	33461	34044	34590	36341	37040
0 The whole country	Males	55	20365	19486	19383	18262	18045	17533	18483	18948	19810	20434	21163	20355	23204	25258	28634	29491	32884	31416	30870	30103	29878	29303	30349	30614	30846	31557	32257	32053	32703	33246	33039	33284	33903	34436	36245
0 The whole country	Males	56	20042	20201	19272	19208	18073	17846	17396	18348	18823	19671	20295	21021	20225	23049	25116	28423	29297	32696	31234	30674	29937	29754	29227	30232	30455	30738	31501	32202	31891	32590	33054	32876	33147	33786	34357
0 The whole country	Males	57	20248	19846	19984	19074	19008	17876	17645	17251	18214	18680	19493	20165	20867	20070	22928	24922	28224	29099	32445	31001	30512	29789	29619	29117	30132	30321	30633	31386	32035	31722	32433	32859	32701	32967	33631
0 The whole country	Males	58	20153	19981	19618	19730	18867	18798	17674	17447	17101	18068	18500	19319	20015	20715	19931	22745	24748	28002	28880	32197	30780	30323	29652	29449	28957	30000	30211	30490	31164	31866	31554	32228	32648	32503	32836
0 The whole country	Males	59	21139	19889	19707	19387	19473	18634	18604	17480	17258	16944	17880	18304	19142	19828	20569	19723	22526	24549	27763	28645	31948	30544	30158	29497	29275	28773	29823	30037	30291	31026	31667	31328	31997	32448	32363
0 The whole country	Males	60	20950	20823	19604	19422	19108	19236	18396	18374	17297	17039	16750	17682	18131	18921	19668	20389	19528	22311	24330	27502	28395	31705	30305	29922	29310	29111	28603	29623	29791	30102	30803	31440	31081	31775	32248
0 The whole country	Males	61	21795	20611	20516	19283	19129	18848	18976	18157	18130	17091	16844	16541	17464	17964	18724	19451	20182	19272	22104	24099	27265	28121	31462	30067	29688	29110	28898	28378	29377	29578	29880	30533	31194	30837	31570
0 The whole country	Males	62	22229	21400	20216	20148	18958	18820	18550	18685	17876	17903	16863	16592	16324	17223	17770	18491	19216	19944	19010	21860	23806	26961	27854	31161	29821	29427	28844	28610	28129	29137	29292	29575	30279	30966	30629
0 The whole country	Males	63	21822	21826	21004	19849	19792	18608	18515	18254	18403	17631	17659	16642	16385	16073	16983	17507	18226	18925	19684	18782	21631	23531	26669	27500	30842	29484	29129	28569	28323	27860	28851	28997	29328	29972	30668
0 The whole country	Males	64	21580	21363	21361	20558	19443	19426	18281	18153	17943	18086	17345	17400	16356	16090	15830	16723	17220	17973	18656	19447	18554	21385	23256	26361	27175	30510	29211	28832	28277	28053	27592	28569	28682	29040	29701
0 The whole country	Males	65	22963	21084	20855	20876	20079	19019	19000	17931	17775	17585	17757	17054	17140	16084	15804	15565	16443	16962	17712	18399	19163	18301	21057	22963	26049	26846	30120	28886	28527	27967	27764	27266	28261	28378	28740
0 The whole country	Males	66	18994	22421	20571	20366	20422	19613	18623	18605	17535	17399	17218	17402	16738	16833	15783	15504	15308	16142	16649	17394	18147	18895	18046	20748	22641	25658	26501	29757	28518	28185	27644	27428	26945	27952	28104
0 The whole country	Males	67	19187	18459	21810	20029	19796	19911	19123	18178	18199	17096	16978	16857	17065	16399	16481	15493	15202	15001	15793	16359	17134	17850	18571	17756	20429	22305	25242	26071	29315	28153	27814	27253	27029	26627	27604
0 The whole country	Males	68	18931	18607	17886	21177	19424	19200	19362	18660	17718	17753	16667	16570	16463	16694	16022	16081	15145	14835	14673	15499	16042	16822	17517	18220	17434	20083	21968	24842	25647	28875	27746	27401	26868	26679	26278
0 The whole country	Males	69	17335	18293	17985	17349	20509	18826	18596	18799	18086	17211	17247	16247	16123	16012	16275	15634	15695	14765	14488	14339	15177	15702	16499	17209	17914	17104	19737	21617	24412	25239	28402	27357	26998	26489	26318
0 The whole country	Males	70	16640	16707	17594	17341	16759	19786	18196	18000	18188	17525	16681	16751	15788	15660	15613	15830	15188	15296	14404	14161	14004	14878	15374	16191	16880	17588	16783	19383	21223	23967	24794	27934	26932	26585	26058
